id,name,category,level,created_at,updated_at
0ab2fbe6-e12d-45c2-a129-776450d70e6b,React Native,Mobile,4,2025-09-12 05:11:07.276791+00,2025-09-12 05:11:07.276791+00
0ba48332-8340-45b2-acf2-41c788b9bcd4,Docker,DevOps,4,2025-09-11 13:40:27.232443+00,2025-09-11 13:40:27.232443+00
0f3da3ea-ddde-4f05-a255-aeb803f896e6,Linux,DevOps,4,2025-09-11 13:40:27.232443+00,2025-09-11 13:40:27.232443+00
0f5eabd7-36f9-4cc7-9d91-cd8a1b48db48,Express.js,Backend,4,2025-09-11 13:40:27.232443+00,2025-09-11 13:40:27.232443+00
0fce82b6-a6f3-4fac-b812-d4d35b735f0d,JavaScript,Languages,5,2025-09-11 13:40:27.232443+00,2025-09-11 13:40:27.232443+00
11587767-f96c-48d8-8ea9-1172caf4a0ce,Firebase,Database,4,2025-09-12 05:12:51.705278+00,2025-09-12 05:12:51.705278+00
23ff21b2-46ed-40aa-ac0e-c7e8c588221e,Next.js,Frontend,5,2025-09-11 13:40:27.232443+00,2025-09-11 13:40:27.232443+00
2bca4414-bd18-48d5-a522-3ce2a2798d44,MariaDB,Database,5,2025-09-12 05:13:37.94648+00,2025-09-12 05:13:37.94648+00
347965ef-5b97-4f97-8f88-1c3c031da3b7,Arduino,IoT,4,2025-09-11 13:40:27.232443+00,2025-09-11 13:40:27.232443+00
34c93e78-9927-4b29-ba58-dfe62dfa9214,TypeScript,Languages,5,2025-09-11 13:40:27.232443+00,2025-09-11 13:40:27.232443+00
3f219025-573f-4637-bbe0-60f318abba7b,Figma,Design,3,2025-09-12 05:11:52.573665+00,2025-09-12 05:11:52.573665+00
5837b29e-73d3-4fcb-b664-6b4abae3c3dd,Tailwind CSS,Frontend,4,2025-09-11 13:40:27.232443+00,2025-09-11 13:40:27.232443+00
589a18e4-c403-4b2f-a40f-36b99b115fb5,Sensor Integration,IoT,4,2025-09-11 13:40:27.232443+00,2025-09-11 13:40:27.232443+00
5d0502a5-548c-42ab-ba19-a2d134e3467c,CI/CD,DevOps,4,2025-09-11 13:40:27.232443+00,2025-09-11 13:40:27.232443+00
616b5695-8d55-4e78-93c7-15c937b1b855,SQL,Languages,4,2025-09-11 13:40:27.232443+00,2025-09-11 13:40:27.232443+00
6ab986aa-dfaa-4738-8c37-62b32fba3d50,Embedded C,IoT,3,2025-09-11 13:40:27.232443+00,2025-09-11 13:40:27.232443+00
6f42aaf3-7eb9-438e-8dc8-f71e72906538,Supabase,Database,4,2025-09-12 05:13:15.21606+00,2025-09-12 05:13:15.21606+00
741dc96c-758f-468f-b793-e3cdf1cb5b51,Raspberry Pi,IoT,4,2025-09-11 13:40:27.232443+00,2025-09-11 13:40:27.232443+00
803a98ae-010d-4dbb-adb7-cbf9102ef19b,Redis,Backend,3,2025-09-11 13:40:27.232443+00,2025-09-11 13:40:27.232443+00
b5597d14-fab3-42cf-9f8b-86046d5277e4,HTML/CSS,Frontend,5,2025-09-11 13:40:27.232443+00,2025-09-11 13:40:27.232443+00
b88fd8ff-ff5a-4a00-9ca7-f0a9cb726a1b,MySQL,Database,5,2025-09-12 05:13:26.250793+00,2025-09-12 05:13:26.250793+00
bb138108-55ef-4c4b-8cdd-779194f87170,Git,DevOps,5,2025-09-11 13:40:27.232443+00,2025-09-11 13:40:27.232443+00
cac91528-1b94-44d7-87ba-4980ab265aa9,Python,Languages,4,2025-09-11 13:40:27.232443+00,2025-09-11 13:40:27.232443+00
d995afcf-433d-4b39-b1bf-6a2c417107ef,AWS,DevOps,3,2025-09-11 13:40:27.232443+00,2025-09-11 13:40:27.232443+00
e0414670-673f-4ef8-8fde-c685a4ab1f81,MQTT,IoT,4,2025-09-11 13:40:27.232443+00,2025-09-11 13:40:27.232443+00
e49422c4-4349-46c7-836c-a7653206cba7,Node.js,Backend,5,2025-09-11 13:40:27.232443+00,2025-09-11 13:40:27.232443+00
e7031cc6-3ed5-4fcb-9e8e-5410d91f03a9,React,Frontend,5,2025-09-11 13:40:27.232443+00,2025-09-11 13:40:27.232443+00
fefc2812-7af7-415b-b3f2-83cff225d229,MongoDB,Database,5,2025-09-12 05:12:21.783103+00,2025-09-12 05:12:56.84121+00